,Location,TMAX,TMIN,TAVG,AWND,AWDR,PRCP,SNOW,DATE
1,schiphol,171,94,140,61,173,1,,01-10-2017
2,schiphol,176,139,157,80,249,4,,02-10-2017
3,schiphol,168,118,139,62,282,29,,03-10-2017
4,schiphol,158,122,136,78,255,17,,04-10-2017
5,schiphol,158,114,133,90,286,150,,05-10-2017
6,schiphol,147,101,118,65,310,56,,06-10-2017
7,schiphol,151,103,127,58,251,114,,07-10-2017
8,schiphol,153,112,127,24,323,-1,,08-10-2017
9,schiphol,145,107,125,21,206,77,,09-10-2017
10,schiphol,164,121,145,59,231,3,,10-10-2017
11,schiphol,160,136,148,85,214,36,,11-10-2017
12,schiphol,159,104,135,63,252,0,,12-10-2017
13,schiphol,188,107,152,57,217,0,,13-10-2017
14,schiphol,195,108,152,43,215,0,,14-10-2017
15,schiphol,215,109,160,39,164,0,,15-10-2017
16,schiphol,234,134,182,45,184,0,,16-10-2017
17,schiphol,156,82,129,38,218,0,,17-10-2017
18,schiphol,178,106,143,20,91,0,,18-10-2017
19,schiphol,203,115,160,41,139,23,,19-10-2017
20,schiphol,167,107,135,72,200,74,,20-10-2017
21,schiphol,173,108,129,72,190,33,,21-10-2017
22,schiphol,136,99,115,70,246,107,,22-10-2017
23,schiphol,152,108,128,49,253,5,,23-10-2017
24,schiphol,169,132,154,65,218,6,,24-10-2017
25,schiphol,173,93,141,53,240,-1,,25-10-2017
26,schiphol,168,113,138,35,260,0,,26-10-2017
27,schiphol,145,95,117,51,312,25,,27-10-2017
28,schiphol,154,106,130,95,274,-1,,28-10-2017
29,schiphol,151,56,104,76,323,11,,29-10-2017
30,schiphol,121,46,83,25,321,1,,30-10-2017
31,schiphol,130,78,110,46,231,1,,31-10-2017
32,schiphol,139,89,116,44,216,-1,,01-11-2017
33,schiphol,149,48,97,26,269,-1,,02-11-2017
34,schiphol,136,47,95,21,174,0,,03-11-2017
35,schiphol,133,86,108,33,187,28,,04-11-2017
36,schiphol,107,51,76,24,282,35,,05-11-2017
37,schiphol,105,11,60,10,325,2,,06-11-2017
38,schiphol,94,-2,42,17,141,0,,07-11-2017
39,schiphol,79,18,62,16,15,1,,08-11-2017
40,schiphol,120,62,88,39,217,37,,09-11-2017
41,schiphol,121,63,93,69,278,16,,10-11-2017
42,schiphol,109,39,77,43,285,5,,11-11-2017
43,schiphol,77,44,60,24,317,51,,12-11-2017
44,schiphol,107,33,69,38,335,8,,13-11-2017
45,schiphol,106,42,81,44,215,25,,14-11-2017
46,schiphol,110,91,100,37,189,14,,15-11-2017
47,schiphol,115,46,95,27,215,11,,16-11-2017
48,schiphol,111,18,61,25,255,0,,17-11-2017
49,schiphol,98,51,76,62,277,65,,18-11-2017
50,schiphol,100,35,72,61,298,16,,19-11-2017
51,schiphol,120,53,85,53,236,99,,20-11-2017
52,schiphol,127,109,119,65,234,22,,21-11-2017
53,schiphol,129,93,109,79,193,21,,22-11-2017
54,schiphol,146,71,106,78,204,12,,23-11-2017
55,schiphol,96,37,67,24,226,34,,24-11-2017
56,schiphol,81,1,44,33,252,8,,25-11-2017
57,schiphol,81,38,62,62,269,32,,26-11-2017
58,schiphol,103,55,76,70,244,147,,27-11-2017
59,schiphol,85,26,57,57,264,73,,28-11-2017
60,schiphol,52,6,31,13,201,7,,29-11-2017
61,schiphol,46,-22,19,11,280,44,,30-11-2017
62,schiphol,46,-43,4,15,20,0,,01-12-2017
63,schiphol,16,-41,-2,29,179,-1,,02-12-2017
64,schiphol,89,15,53,22,239,29,,03-12-2017
65,schiphol,91,48,73,39,282,16,,04-12-2017
66,schiphol,93,71,84,57,264,0,,05-12-2017
67,schiphol,102,69,86,68,234,0,,06-12-2017
68,schiphol,78,47,62,78,218,65,,07-12-2017
69,schiphol,63,9,34,83,279,115,,08-12-2017
70,schiphol,58,8,34,62,266,93,,09-12-2017
71,schiphol,17,0,8,20,124,127,,10-12-2017
72,schiphol,18,-36,2,45,39,63,,11-12-2017
73,schiphol,50,4,19,34,229,10,,12-12-2017
74,schiphol,65,8,37,62,197,94,,13-12-2017
75,schiphol,65,4,35,52,231,78,,14-12-2017
76,schiphol,45,-20,23,29,173,5,,15-12-2017
77,schiphol,64,-13,24,30,302,45,,16-12-2017
78,schiphol,66,-24,27,32,209,43,,17-12-2017
79,schiphol,82,2,59,44,333,28,,18-12-2017
80,schiphol,81,6,56,32,244,0,,19-12-2017
81,schiphol,91,50,77,27,268,-1,,20-12-2017
82,schiphol,91,74,84,25,266,10,,21-12-2017
83,schiphol,99,51,84,10,273,34,,22-12-2017
84,schiphol,92,80,86,74,247,1,,23-12-2017
85,schiphol,96,77,85,86,233,3,,24-12-2017
86,schiphol,99,46,76,82,199,-1,,25-12-2017
87,schiphol,74,45,58,74,204,19,,26-12-2017
88,schiphol,70,36,53,26,187,65,,27-12-2017
89,schiphol,56,19,43,67,269,10,,28-12-2017
90,schiphol,73,-4,32,54,209,44,,29-12-2017
91,schiphol,118,39,87,80,230,42,,30-12-2017
92,schiphol,131,80,104,88,219,176,,31-12-2017
93,schiphol,83,56,68,67,226,10,,01-01-2018
94,schiphol,94,37,66,50,219,44,,02-01-2018
95,schiphol,114,58,86,130,254,86,,03-01-2018
96,schiphol,109,69,81,82,239,5,,04-01-2018
97,schiphol,79,33,61,53,215,35,,05-01-2018
98,schiphol,70,15,46,14,32,0,,06-01-2018
99,schiphol,39,-8,15,85,55,0,,07-01-2018
100,schiphol,35,-13,9,66,76,0,,08-01-2018
101,schiphol,56,-4,28,35,114,0,,09-01-2018
102,schiphol,74,53,67,35,154,6,,10-01-2018
103,schiphol,73,38,61,10,29,0,,11-01-2018
104,de bilt,174,97,141,45,179,-1,,01-10-2017
105,de bilt,179,134,156,47,237,6,,02-10-2017
106,de bilt,164,118,136,32,270,16,,03-10-2017
107,de bilt,152,114,130,41,242,28,,04-10-2017
108,de bilt,160,103,129,45,276,252,,05-10-2017
109,de bilt,150,95,116,28,303,32,,06-10-2017
110,de bilt,143,106,122,39,239,159,,07-10-2017
111,de bilt,147,97,121,14,319,1,,08-10-2017
112,de bilt,134,101,121,18,210,104,,09-10-2017
113,de bilt,158,124,143,40,232,3,,10-10-2017
114,de bilt,161,142,148,60,216,2,,11-10-2017
115,de bilt,161,108,134,35,247,2,,12-10-2017
116,de bilt,182,109,153,37,220,0,,13-10-2017
117,de bilt,199,96,148,28,222,0,,14-10-2017
118,de bilt,221,93,158,27,169,0,,15-10-2017
119,de bilt,244,137,186,27,183,0,,16-10-2017
120,de bilt,166,82,129,22,214,0,,17-10-2017
121,de bilt,186,104,137,14,99,0,,18-10-2017
122,de bilt,204,101,157,28,146,-1,,19-10-2017
123,de bilt,167,104,137,52,204,73,,20-10-2017
124,de bilt,175,104,132,47,197,5,,21-10-2017
125,de bilt,132,96,108,44,228,132,,22-10-2017
126,de bilt,152,103,126,28,248,1,,23-10-2017
127,de bilt,171,130,153,45,220,8,,24-10-2017
128,de bilt,171,90,142,34,240,-1,,25-10-2017
129,de bilt,175,127,140,22,253,0,,26-10-2017
130,de bilt,144,99,118,26,313,4,,27-10-2017
131,de bilt,153,93,124,51,268,16,,28-10-2017
132,de bilt,152,68,107,47,322,10,,29-10-2017
133,de bilt,121,45,83,18,311,-1,,30-10-2017
134,de bilt,112,82,101,36,223,-1,,31-10-2017
135,de bilt,135,96,112,32,217,0,,01-11-2017
136,de bilt,140,38,98,20,246,-1,,02-11-2017
137,de bilt,124,34,88,14,170,5,,03-11-2017
138,de bilt,131,74,106,27,187,30,,04-11-2017
139,de bilt,109,50,78,20,265,48,,05-11-2017
140,de bilt,109,-5,48,11,301,4,,06-11-2017
141,de bilt,98,-13,33,11,134,0,,07-11-2017
142,de bilt,76,24,59,16,22,0,,08-11-2017
143,de bilt,111,62,87,33,219,14,,09-11-2017
144,de bilt,118,58,92,37,263,29,,10-11-2017
145,de bilt,94,38,66,25,244,37,,11-11-2017
146,de bilt,64,32,52,17,277,74,,12-11-2017
147,de bilt,103,10,62,25,325,13,,13-11-2017
148,de bilt,99,27,77,38,222,4,,14-11-2017
149,de bilt,102,85,94,27,197,23,,15-11-2017
150,de bilt,107,62,93,22,217,18,,16-11-2017
151,de bilt,110,6,56,13,259,0,,17-11-2017
152,de bilt,96,35,69,30,262,50,,18-11-2017
153,de bilt,99,44,67,30,287,19,,19-11-2017
154,de bilt,118,46,78,35,228,97,,20-11-2017
155,de bilt,124,106,115,42,233,13,,21-11-2017
156,de bilt,133,105,114,60,199,13,,22-11-2017
157,de bilt,144,82,111,58,211,8,,23-11-2017
158,de bilt,92,43,69,15,234,16,,24-11-2017
159,de bilt,74,-6,37,24,237,2,,25-11-2017
160,de bilt,80,30,53,33,245,57,,26-11-2017
161,de bilt,91,47,67,49,228,152,,27-11-2017
162,de bilt,78,12,54,30,247,9,,28-11-2017
163,de bilt,40,6,29,16,202,1,,29-11-2017
164,de bilt,46,-24,15,14,266,6,,30-11-2017
165,de bilt,31,-28,0,11,22,-1,,01-12-2017
166,de bilt,6,-12,-4,24,196,-1,,02-12-2017
167,de bilt,66,3,37,23,232,20,,03-12-2017
168,de bilt,91,52,70,24,273,25,,04-12-2017
169,de bilt,94,54,76,31,244,0,,05-12-2017
170,de bilt,92,69,80,45,226,0,,06-12-2017
171,de bilt,72,43,59,56,213,78,,07-12-2017
172,de bilt,61,3,26,39,262,154,,08-12-2017
173,de bilt,46,4,21,38,242,125,,09-12-2017
174,de bilt,41,0,11,24,172,128,,10-12-2017
175,de bilt,16,-29,-1,39,38,98,,11-12-2017
176,de bilt,41,3,18,26,239,5,,12-12-2017
177,de bilt,64,8,40,50,203,138,,13-12-2017
178,de bilt,54,4,33,38,228,150,,14-12-2017
179,de bilt,43,-2,26,17,194,2,,15-12-2017
180,de bilt,62,1,27,21,280,14,,16-12-2017
181,de bilt,63,-28,25,27,220,49,,17-12-2017
182,de bilt,80,22,59,26,335,8,,18-12-2017
183,de bilt,75,13,52,21,238,-1,,19-12-2017
184,de bilt,87,49,75,14,263,3,,20-12-2017
185,de bilt,93,76,84,15,259,3,,21-12-2017
186,de bilt,96,73,86,7,292,25,,22-12-2017
187,de bilt,94,80,87,47,250,-1,,23-12-2017
188,de bilt,96,72,82,55,237,7,,24-12-2017
189,de bilt,91,45,74,58,202,4,,25-12-2017
190,de bilt,74,46,58,55,205,12,,26-12-2017
191,de bilt,66,36,51,27,187,73,,27-12-2017
192,de bilt,53,24,39,35,257,7,,28-12-2017
193,de bilt,67,-7,28,39,198,67,,29-12-2017
194,de bilt,122,39,88,49,228,37,,30-12-2017
195,de bilt,137,85,106,61,222,393,,31-12-2017
196,de bilt,88,52,68,45,225,47,,01-01-2018
197,de bilt,91,45,65,39,216,45,,02-01-2018
198,de bilt,112,54,88,82,257,95,,03-01-2018
199,de bilt,107,68,82,51,238,6,,04-01-2018
200,de bilt,87,44,64,38,225,27,,05-01-2018
201,de bilt,66,22,45,8,34,0,,06-01-2018
202,de bilt,31,-12,10,58,53,0,,07-01-2018
203,de bilt,39,-14,11,55,79,0,,08-01-2018
204,de bilt,61,-2,30,26,117,0,,09-01-2018
205,de bilt,76,58,69,27,161,26,,10-01-2018
206,de bilt,76,28,57,12,14,0,,11-01-2018
207,leeuwarden,174,95,139,54,177,2,,01-10-2017
208,leeuwarden,171,126,150,68,246,29,,02-10-2017
209,leeuwarden,159,120,135,60,278,-1,,03-10-2017
210,leeuwarden,142,120,132,81,258,4,,04-10-2017
211,leeuwarden,157,103,125,87,292,74,,05-10-2017
212,leeuwarden,146,102,118,74,314,39,,06-10-2017
