"","Location","TMAX","TMIN","TAVG","AWND","AWDR","PRCP","SNOW","Date"
"1","Los Angeles",244,161,"203","30","","0","0","2017-09-30"
"2","Los Angeles",239,178,"198","30","","0","0","2017-10-01"
"3","Los Angeles",239,161,"198","34","","0","0","2017-10-02"
"4","Los Angeles",228,167,"196","31","","0","0","2017-10-03"
"5","Los Angeles",233,161,"191","36","","0","0","2017-10-04"
"6","Los Angeles",256,144,"195","30","","0","0","2017-10-05"
"7","Los Angeles",300,150,"208","26","","0","0","2017-10-06"
"8","Los Angeles",306,156,"228","27","","0","0","2017-10-07"
"9","Los Angeles",256,161,"207","33","","0","0","2017-10-08"
"10","Los Angeles",289,178,"208","26","","0","0","2017-10-09"
"11","Los Angeles",256,156,"204","32","","0","0","2017-10-10"
"12","Los Angeles",211,167,"189","32","","0","0","2017-10-11"
"13","Los Angeles",217,161,"187","35","","0","0","2017-10-12"
"14","Los Angeles",222,156,"183","30","","0","0","2017-10-13"
"15","Los Angeles",256,156,"193","24","","0","0","2017-10-14"
"16","Los Angeles",350,156,"230","36","","0","0","2017-10-15"
"17","Los Angeles",322,189,"242","25","","0","0","2017-10-16"
"18","Los Angeles",317,189,"238","26","","0","0","2017-10-17"
"19","Los Angeles",267,183,"229","32","","0","0","2017-10-18"
"20","Los Angeles",228,178,"204","29","","0","0","2017-10-19"
"21","Los Angeles",217,172,"192","47","","0","0","2017-10-20"
"22","Los Angeles",244,161,"193","27","","0","0","2017-10-21"
"23","Los Angeles",306,156,"221","27","","0","0","2017-10-22"
"24","Los Angeles",383,194,"261","18","","0","0","2017-10-23"
"25","Los Angeles",400,194,"290","17","","0","0","2017-10-24"
"26","Los Angeles",378,211,"300","22","","0","0","2017-10-25"
"27","Los Angeles",322,194,"250","27","","0","0","2017-10-26"
"28","Los Angeles",250,161,"217","30","","0","0","2017-10-27"
"29","Los Angeles",211,161,"183","30","","0","0","2017-10-28"
"30","Los Angeles",217,161,"176","26","","0","0","2017-10-29"
"31","Los Angeles",206,178,"187","38","","0","0","2017-10-30"
"32","Los Angeles",206,172,"182","27","","0","0","2017-10-31"
"33","Los Angeles",206,178,"187","31","","0","0","2017-11-01"
"34","Los Angeles",200,144,"176","31","","18","0","2017-11-02"
"35","Los Angeles",217,150,"178","36","","5","0","2017-11-03"
"36","Los Angeles",206,139,"178","44","","0","0","2017-11-04"
"37","Los Angeles",206,156,"179","31","","0","0","2017-11-05"
"38","Los Angeles",206,150,"174","33","","0","0","2017-11-06"
"39","Los Angeles",222,150,"182","28","","0","0","2017-11-07"
"40","Los Angeles",233,139,"183","41","","0","0","2017-11-08"
"41","Los Angeles",211,156,"181","44","","0","0","2017-11-09"
"42","Los Angeles",206,139,"177","30","","0","0","2017-11-10"
"43","Los Angeles",211,128,"166","26","","0","0","2017-11-11"
"44","Los Angeles",200,133,"165","24","","0","0","2017-11-12"
"45","Los Angeles",211,122,"165","21","","0","0","2017-11-13"
"46","Los Angeles",233,122,"171","25","","0","0","2017-11-14"
"47","Los Angeles",244,139,"185","23","","0","0","2017-11-15"
"48","Los Angeles",244,144,"193","26","","0","0","2017-11-16"
"49","Los Angeles",211,156,"194","41","","0","0","2017-11-17"
"50","Los Angeles",244,128,"177","26","","0","0","2017-11-18"
"51","Los Angeles",244,133,"182","29","","0","0","2017-11-19"
"52","Los Angeles",222,111,"164","21","","0","0","2017-11-20"
"53","Los Angeles",261,144,"196","23","","0","0","2017-11-21"
"54","Los Angeles",344,167,"231","17","","0","0","2017-11-22"
"55","Los Angeles",328,178,"250","28","","0","0","2017-11-23"
"56","Los Angeles",278,144,"204","20","","0","0","2017-11-24"
"57","Los Angeles",278,150,"203","22","","0","0","2017-11-25"
"58","Los Angeles",183,150,"159","31","","0","0","2017-11-26"
"59","Los Angeles",194,133,"166","41","","3","0","2017-11-27"
"60","Los Angeles",250,100,"162","26","","0","0","2017-11-28"
"61","Los Angeles",233,122,"165","21","","0","0","2017-11-29"
"62","Los Angeles",222,111,"159","23","","0","0","2017-11-30"
"63","Los Angeles",206,117,"159","22","","0","0","2017-12-01"
"64","Los Angeles",217,111,"163","22","","0","0","2017-12-02"
"65","Los Angeles",194,117,"157","21","","0","0","2017-12-03"
"66","Los Angeles",228,128,"161","26","","0","0","2017-12-04"
"67","Los Angeles",233,106,"173","22","","0","0","2017-12-05"
"68","Los Angeles",239,72,"163","17","","0","0","2017-12-06"
"69","Los Angeles",267,83,"181","17","","0","0","2017-12-07"
"70","Los Angeles",256,111,"194","22","","0","0","2017-12-08"
"71","Los Angeles",300,111,"193","16","","0","0","2017-12-09"
"72","New York City",189,122,"","28","","0","0","2017-09-30"
"73","New York City",200,100,"","13","","0","0","2017-10-01"
"74","New York City",228,111,"","11","","0","0","2017-10-02"
"75","New York City",217,139,"","14","","0","0","2017-10-03"
"76","New York City",239,133,"","22","","0","0","2017-10-04"
"77","New York City",283,183,"","22","","0","0","2017-10-05"
"78","New York City",278,200,"","11","","0","0","2017-10-06"
"79","New York City",272,189,"","18","","0","0","2017-10-07"
"80","New York City",250,222,"","22","","56","0","2017-10-08"
"81","New York City",250,217,"","22","","66","0","2017-10-09"
"82","New York City",272,189,"","13","","0","0","2017-10-10"
"83","New York City",250,156,"","26","","15","0","2017-10-11"
"84","New York City",178,128,"","39","","18","0","2017-10-12"
"85","New York City",194,111,"","27","","0","0","2017-10-13"
"86","New York City",222,161,"","11","","20","0","2017-10-14"
"87","New York City",233,183,"","19","","0","0","2017-10-15"
"88","New York City",206,78,"","30","","3","0","2017-10-16"
"89","New York City",144,56,"","18","","0","0","2017-10-17"
"90","New York City",222,100,"","17","","0","0","2017-10-18"
"91","New York City",217,133,"","20","","0","0","2017-10-19"
"92","New York City",228,139,"","18","","0","0","2017-10-20"
"93","New York City",256,133,"","10","","0","0","2017-10-21"
"94","New York City",244,139,"","7","","0","0","2017-10-22"
"95","New York City",233,161,"","16","","0","0","2017-10-23"
"96","New York City",233,194,"","25","","51","0","2017-10-24"
"97","New York City",194,139,"","9","","0","0","2017-10-25"
