 website,location,type,max_temp,min_temp,avg_temp,wind_speed,wind_direction,humidity_percentage,pop,precipitation_amount,prediction_type,date
bbc.com,san antonio,light cloud,26,17,21.75,24,N,54.5,,,day,10-10-2017
bbc.com,tucson international airport,sunny,34,17,,13,ENE,17.0,,,week,16-10-2017
bbc.com,yuma,sunny,33,14,23.25,14,N,17.875,,,day,10-10-2017
bbc.com,tucson international airport,sunny,32,17,24.625,23,ESE,33.375,,,day,10-10-2017
bbc.com,san antonio,sunny,28,18,,14,NE,48.0,,,week,16-10-2017
bbc.com,yuma,sunny,34,18,,13,N,7.0,,,week,16-10-2017
bbc.com,los angeles,sunny,30,15,,6,WNW,23.0,,,week,16-10-2017
bbc.com,los angeles,sunny,29,14,20.125,8,SSW,56.0,,,day,10-10-2017
bbc.com,beaumont,heavy rain shower,29,21,25.75,5,S,83.0,,,day,10-10-2017
bbc.com,beaumont,sunny,30,20,,13,NNE,57.0,,,week,16-10-2017
bbc.com,houma,light rain shower,30,24,26.375,8,SE,87.25,,,day,10-10-2017
bbc.com,houma,sunny intervals,29,21,,13,N,69.0,,,week,16-10-2017
bbc.com,pensacola,thundery shower,28,24,25.75,10,SSE,91.625,,,day,10-10-2017
bbc.com,valdosta regional airport,sunny intervals,29,20,,6,NNW,69.0,,,week,16-10-2017
bbc.com,pensacola,sunny intervals,28,20,,10,E,71.0,,,week,16-10-2017
bbc.com,valdosta regional airport,heavy rain shower,30,23,26.25,6,SSE,85.875,,,day,10-10-2017
bbc.com,miami,light rain shower,28,24,,13,E,81.0,,,week,16-10-2017
bbc.com,columbia metropolitan airport,heavy rain shower,28,24,25.25,8,SSW,91.125,,,day,10-10-2017
bbc.com,atlanta,sunny,27,16,,13,S,72.0,,,week,16-10-2017
bbc.com,tuscaloosa municipal airport,thundery shower,29,23,25.5,11,SSW,90.875,,,day,10-10-2017
bbc.com,miami,light rain shower,29,27,27.5,24,E,79.5,,,day,10-10-2017
bbc.com,columbia metropolitan airport,sunny,28,18,,10,E,66.0,,,week,16-10-2017
bbc.com,atlanta,light rain shower,29,22,25.0,10,SW,88.375,,,day,10-10-2017
bbc.com,tuscaloosa municipal airport,sunny,27,16,,10,NNW,62.0,,,week,16-10-2017
bbc.com,amarillo,sunny,13,5,8.0,23,N,67.375,,,day,10-10-2017
bbc.com,little rock,sunny,24,13,,11,NNE,43.0,,,week,16-10-2017
bbc.com,oklahoma city,sunny,20,11,,11,ESE,48.0,,,week,16-10-2017
bbc.com,little rock,heavy rain shower,30,14,22.5,11,WSW,75.125,,,day,10-10-2017
bbc.com,amarillo,sunny,21,9,,21,SE,44.0,,,week,16-10-2017
bbc.com,albuquerque,sunny,16,8,10.25,6,SE,63.375,,,day,10-10-2017
bbc.com,oklahoma city,light cloud,14,9,11.5,23,NNW,73.875,,,day,10-10-2017
bbc.com,albuquerque,sunny,21,9,,8,NW,51.0,,,week,16-10-2017
bbc.com,flagstaff,sunny,18,5,10.25,8,SE,45.75,,,day,10-10-2017
bbc.com,las vegas,sunny,27,14,,5,NNE,9.0,,,week,16-10-2017
bbc.com,flagstaff,sunny,21,8,,11,ESE,11.0,,,week,16-10-2017
bbc.com,las vegas,sunny,23,7,15.125,8,NE,28.25,,,day,10-10-2017
bbc.com,fresno,sunny,30,11,19.875,5,S,36.0,,,day,10-10-2017
bbc.com,fresno,sunny,29,11,,3,SSW,21.0,,,week,16-10-2017
bbc.com,sacramento,sunny intervals,29,11,19.0,6,S,44.875,,,day,10-10-2017
bbc.com,sacramento,sunny,29,10,,5,NNW,21.0,,,week,16-10-2017
bbc.com,denver,sunny,12,1,3.125,13,SSE,75.375,,,day,10-10-2017
bbc.com,grand junction regional airport,sunny,19,4,,5,N,20.0,,,week,16-10-2017
bbc.com,kansas city,heavy rain shower,11,8,9.5,19,N,85.25,,,day,10-10-2017
bbc.com,salt lake city,sunny,15,6,,10,WNW,63.0,,,week,16-10-2017
bbc.com,denver,sunny,20,4,,11,NW,31.0,,,week,16-10-2017
bbc.com,salt lake city,sunny,19,7,11.5,11,E,57.875,,,day,10-10-2017
bbc.com,grand junction regional airport,sunny,16,3,8.625,5,SSW,57.5,,,day,10-10-2017
bbc.com,kansas city,sunny,18,9,,10,WSW,50.0,,,week,16-10-2017
bbc.com,louisville,sunny intervals,26,20,23.125,13,E,87.375,,,day,10-10-2017
bbc.com,louisville,sunny,21,10,,13,NNE,59.0,,,week,16-10-2017
bbc.com,st louis,heavy rain shower,23,15,19.25,14,ESE,87.0,,,day,10-10-2017
bbc.com,nashville,sunny,22,11,,11,N,55.0,,,week,16-10-2017
bbc.com,knoxville,heavy rain shower,26,21,22.875,5,S,92.875,,,day,10-10-2017
