website,location,type,max_temp,min_temp,avg_temp,wind_speed,wind_direction,humidity_percentage,pop,precipitation_amount,prediction_type,date
bbc.com,yuma,sunny,21,9,,11,N,32.0,,,week,03-01-2018
bbc.com,los angeles,sunny,19,9,,6,ESE,54.0,,,week,03-01-2018
bbc.com,yuma,sunny,25,7,14.5,11,N,30.0,,,day,28-12-2017
bbc.com,los angeles,sunny,24,10,15.75,5,NW,47.625,,,day,28-12-2017
bbc.com,tucson international airport,sunny,25,7,14.125,8,ENE,44.875,,,day,28-12-2017
bbc.com,tucson international airport,sunny,19,6,,10,S,39.0,,,week,03-01-2018
bbc.com,san antonio,light cloud,9,4,6.125,8,ENE,76.125,,,day,28-12-2017
bbc.com,san antonio,light cloud,13,3,,13,NNW,67.0,,,week,03-01-2018
bbc.com,beaumont,light cloud,8,6,6.625,10,NE,72.75,,,day,28-12-2017
bbc.com,beaumont,light cloud,11,5,,13,NNE,67.0,,,week,03-01-2018
bbc.com,houma,light cloud,10,8,8.0,14,NE,83.875,,,day,28-12-2017
bbc.com,houma,light cloud,13,7,,18,ENE,66.0,,,week,03-01-2018
bbc.com,pensacola,light cloud,10,8,8.75,13,NE,84.0,,,day,28-12-2017
bbc.com,pensacola,sunny,10,4,,14,NE,58.0,,,week,03-01-2018
bbc.com,valdosta regional airport,light rain,7,4,5.625,14,NE,88.875,,,day,28-12-2017
bbc.com,valdosta regional airport,light cloud,9,2,,13,NE,63.0,,,week,03-01-2018
bbc.com,miami,sunny intervals,23,17,,19,ENE,67.0,,,week,03-01-2018
bbc.com,miami,sunny,25,19,23.0,16,ENE,80.0,,,day,28-12-2017
bbc.com,columbia metropolitan airport,light snow,2,-3,,10,NE,38.0,,,week,03-01-2018
bbc.com,atlanta,sunny intervals,5,-1,,14,NE,42.0,,,week,03-01-2018
bbc.com,columbia metropolitan airport,light cloud,3,-2,0.0,16,ENE,56.25,,,day,28-12-2017
bbc.com,atlanta,light cloud,7,0,3.125,18,E,63.0,,,day,28-12-2017
bbc.com,tuscaloosa municipal airport,sunny intervals,8,4,4.125,5,E,76.875,,,day,28-12-2017
bbc.com,tuscaloosa municipal airport,sunny intervals,6,0,,10,SE,45.0,,,week,03-01-2018
bbc.com,little rock,sunny intervals,4,-3,,10,SE,47.0,,,week,03-01-2018
bbc.com,little rock,sunny,2,-3,-1.75,5,ENE,59.375,,,day,28-12-2017
bbc.com,amarillo,sunny,8,-5,,24,WSW,54.0,,,week,03-01-2018
bbc.com,albuquerque,sunny,14,-1,4.75,6,S,54.375,,,day,28-12-2017
bbc.com,oklahoma city,sunny intervals,4,-3,,18,NW,59.0,,,week,03-01-2018
bbc.com,amarillo,sunny,12,-5,1.5,13,WNW,65.375,,,day,28-12-2017
bbc.com,oklahoma city,thick cloud,3,0,0.75,16,S,81.25,,,day,28-12-2017
bbc.com,albuquerque,sunny,10,-2,,10,NNE,43.0,,,week,03-01-2018
bbc.com,las vegas,sunny,15,5,,5,N,35.0,,,week,03-01-2018
bbc.com,flagstaff,sunny,14,-1,5.875,5,NW,44.5,,,day,28-12-2017
bbc.com,sacramento,sunny,13,4,7.25,3,ESE,89.125,,,day,28-12-2017
bbc.com,sacramento,sunny intervals,15,6,,5,N,74.0,,,week,03-01-2018
bbc.com,fresno,light cloud,16,6,,5,E,66.0,,,week,03-01-2018
bbc.com,flagstaff,sunny,7,-2,,11,NE,43.0,,,week,03-01-2018
bbc.com,fresno,sunny,14,4,8.125,3,WSW,84.375,,,day,28-12-2017
bbc.com,las vegas,sunny,16,-1,7.0,5,ENE,53.75,,,day,28-12-2017
bbc.com,salt lake city,sunny,5,0,1.75,6,S,77.0,,,day,28-12-2017
bbc.com,grand junction regional airport,sunny,6,-3,0.375,2,WSW,65.25,,,day,28-12-2017
bbc.com,denver,sunny,9,-4,1.375,13,SSE,61.5,,,day,28-12-2017
bbc.com,denver,sunny,5,-8,,13,NNW,46.0,,,week,03-01-2018
bbc.com,salt lake city,sunny,4,-5,,10,S,76.0,,,week,03-01-2018
bbc.com,kansas city,thick cloud,1,-5,-2.875,14,SSW,70.375,,,day,28-12-2017
bbc.com,kansas city,sunny intervals,-1,-8,,16,SSW,52.0,,,week,03-01-2018
bbc.com,grand junction regional airport,sunny,6,-5,,5,NNW,44.0,,,week,03-01-2018
bbc.com,nashville,light cloud,3,-4,,10,S,35.0,,,week,03-01-2018
bbc.com,st louis,light cloud,-1,-8,,13,SSE,42.0,,,week,03-01-2018
bbc.com,nashville,sunny intervals,2,-3,-1.75,6,ENE,53.625,,,day,28-12-2017
bbc.com,st louis,light cloud,-6,-7,-7.5,8,SSE,67.125,,,day,28-12-2017
bbc.com,louisville,light cloud,-1,-5,-4.625,13,E,44.75,,,day,28-12-2017
bbc.com,knoxville,sunny,2,-3,-1.375,6,NE,66.375,,,day,28-12-2017
bbc.com,louisville,light cloud,2,-4,,13,SSE,35.0,,,week,03-01-2018
bbc.com,knoxville,light cloud,3,-5,,6,ENE,34.0,,,week,03-01-2018
bbc.com,raleigh east airport,light cloud,1,-5,,8,NE,29.0,,,week,03-01-2018
bbc.com,raleigh east airport,sunny,0,-5,-3.5,14,NE,51.75,,,day,28-12-2017
bbc.com,rochester,light cloud,-7,-12,,13,WSW,58.0,,,week,03-01-2018
bbc.com,cleveland,light cloud,-8,-11,-9.75,10,SW,73.375,,,day,28-12-2017
bbc.com,cleveland,light cloud,-6,-11,,14,S,56.0,,,week,03-01-2018
bbc.com,washington dulles international airport,light cloud,1,-8,,11,ESE,29.0,,,week,03-01-2018
bbc.com,rochester,thick cloud,-10,-14,-12.0,14,WNW,83.375,,,day,28-12-2017
bbc.com,washington dulles international airport,sunny intervals,-2,-8,-5.625,14,NNW,41.75,,,day,28-12-2017
bbc.com,chicago,light snow shower,-7,-13,,13,SSW,56.0,,,week,03-01-2018
bbc.com,bangor,sunny,-12,-20,,8,W,54.0,,,week,03-01-2018
bbc.com,minneapolis,light cloud,-9,-17,,13,NNE,62.0,,,week,03-01-2018
bbc.com,sioux falls,thick cloud,-9,-20,-14.25,14,WSW,78.875,,,day,28-12-2017
bbc.com,bangor,thick cloud,-14,-17,-16.0,31,NW,79.625,,,day,28-12-2017
bbc.com,sioux falls,sunny intervals,-8,-17,,18,SW,64.0,,,week,03-01-2018
bbc.com,chicago,light cloud,-9,-11,-10.5,16,S,73.25,,,day,28-12-2017
bbc.com,minneapolis,light snow,-9,-18,-12.875,13,S,82.25,,,day,28-12-2017
bbc.com,portland,light cloud,8,3,,11,E,81.0,,,week,03-01-2018
bbc.com,rapid city,sunny,1,-12,,18,E,50.0,,,week,03-01-2018
bbc.com,rock springs,sunny,4,-2,0.5,23,W,54.75,,,day,28-12-2017
bbc.com,rock springs,sunny,-3,-14,,10,NW,73.0,,,week,03-01-2018
bbc.com,rapid city,light snow,-8,-17,-13.5,19,NNE,86.875,,,day,28-12-2017
bbc.com,boise,sunny intervals,2,-5,,5,NE,75.0,,,week,03-01-2018
bbc.com,boise,light cloud,0,-2,-1.125,3,SSW,92.25,,,day,28-12-2017
bbc.com,portland,heavy rain,8,7,7.875,8,S,94.375,,,day,28-12-2017
bbc.com,new york,sunny,-4,-10,,10,NW,40.0,,,week,03-01-2018
bbc.com,bismarck,sunny,-6,-15,,13,SW,58.0,,,week,03-01-2018
bbc.com,bismarck,sunny,-16,-23,-19.5,23,NW,78.625,,,day,28-12-2017
bbc.com,spokane international airport,sunny intervals,-1,-6,,10,E,100.0,,,week,03-01-2018
bbc.com,leeuwarden,light rain shower,7,3,,26,SW,82.0,,,week,03-01-2018
bbc.com,leeuwarden,light cloud,5,1,3.375,26,W,84.0,,,day,28-12-2017
bbc.com,new york,sunny,-6,-9,-7.875,19,NW,45.5,,,day,28-12-2017
bbc.com,spokane international airport,light snow,-1,-2,-1.75,6,ENE,96.125,,,day,28-12-2017
bbc.com,vlissingen,light rain shower,9,5,,29,WSW,81.0,,,week,03-01-2018
bbc.com,amsterdam airport schiphol,light rain shower,6,1,3.875,27,W,77.25,,,day,28-12-2017
bbc.com,de bilt,light cloud,8,3,,18,SW,82.0,,,week,03-01-2018
bbc.com,amsterdam airport schiphol,light cloud,8,3,,29,SW,81.0,,,week,03-01-2018
bbc.com,maastricht aachen airport,light rain shower,7,3,,23,SW,83.0,,,week,03-01-2018
bbc.com,maastricht aachen airport,light cloud,3,-1,1.25,23,WSW,88.25,,,day,28-12-2017
bbc.com,vlissingen,sunny intervals,5,1,3.625,31,WNW,78.125,,,day,28-12-2017
bbc.com,de bilt,sunny intervals,5,0,3.0,18,W,79.875,,,day,28-12-2017
bbc.com,eindhoven,light cloud,4,-2,2.125,21,WSW,87.375,,,day,28-12-2017
bbc.com,rotterdam,light cloud,8,4,,27,SW,81.0,,,week,03-01-2018
bbc.com,eindhoven,light rain shower,8,3,,23,WSW,82.0,,,week,03-01-2018
bbc.com,rotterdam,sunny intervals,5,1,3.75,21,W,74.375,,,day,28-12-2017
timeanddate.com,los angeles,Haze.,26,12,,9,NNE,22,7,,day,28-12-2017
timeanddate.com,yuma marine corps air station,Mostly sunny.,25,9,,14,NNW,12,1,,day,28-12-2017
timeanddate.com,los angeles,Partly cloudy.,24,13,,9,SW,5,4,,week,03-01-2018
timeanddate.com,yuma marine corps air station,Sunny.,23,9,,7,N,9,2,,week,03-01-2018
timeanddate.com,davis-monthan air force base,Sunny.,25,8,,10,E,15,0,,day,28-12-2017
timeanddate.com,davis-monthan air force base,Sunny.,21,8,,12,E,9,2,,week,03-01-2018
timeanddate.com,el paso international airport,Sunny.,18,2,,8,ENE,27,0,,day,28-12-2017
timeanddate.com,pensacola regional airport,Drizzle. Overcast.,10,6,,13,NNE,82,44,6.1,day,28-12-2017
timeanddate.com,valdosta regional,Light showers. Overcast.,7,4,,14,NE,89,54,6.1,day,28-12-2017
timeanddate.com,el paso international airport,Clearing skies.,14,4,,12,ESE,25,4,,week,03-01-2018
timeanddate.com,midland - midland airpark,Sunny.,14,-3,,13,SSW,44,2,,day,28-12-2017
timeanddate.com,pensacola regional airport,Mostly sunny.,8,-2,,16,NNW,25,3,,week,03-01-2018
timeanddate.com,valdosta regional,Mostly sunny.,8,-3,,19,WNW,33,3,,week,03-01-2018
timeanddate.com,miami international airport,Cloudy.,26,21,,17,ENE,67,26,0.0,day,28-12-2017
timeanddate.com,midland - midland airpark,Decreasing cloudiness.,8,-5,,17,S,32,4,,week,03-01-2018
timeanddate.com,san antonio international airport,Overcast.,10,3,,9,NE,63,5,,day,28-12-2017
timeanddate.com,columbia owens downtown airport,Mostly sunny.,4,-1,,12,NE,32,7,,day,28-12-2017
timeanddate.com,miami international airport,Scattered clouds.,20,14,,25,NW,45,5,,week,03-01-2018
timeanddate.com,san antonio international airport,Cloudy.,11,1,,8,SE,30,6,,week,03-01-2018
timeanddate.com,columbia owens downtown airport,Partly cloudy.,6,-4,,11,WNW,35,5,,week,03-01-2018
timeanddate.com,jefferson county airport,Overcast.,8,2,,13,NNE,74,29,0.0,day,28-12-2017
timeanddate.com,fulton county airport-brown field,Sunny.,4,-1,,14,E,45,6,,day,28-12-2017
timeanddate.com,lakefront airport,Sprinkles. Overcast.,8,6,,14,NNE,87,28,3.3,day,28-12-2017
timeanddate.com,tuscaloosa municipal airport,Mostly sunny.,9,-2,,7,ESE,58,4,,day,28-12-2017
timeanddate.com,jefferson county airport,Cloudy.,10,0,,8,N,32,3,,week,03-01-2018
timeanddate.com,fulton county airport-brown field,Sunny.,1,-5,,20,NW,34,5,,week,03-01-2018
timeanddate.com,lakefront airport,Broken clouds.,8,-1,,18,NNW,34,3,,week,03-01-2018
timeanddate.com,tuscaloosa municipal airport,Clearing skies.,4,-7,,13,NW,31,4,,week,03-01-2018
timeanddate.com,vicksburg municipal,Partly cloudy.,5,-3,,10,NNE,56,9,,day,28-12-2017
